row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
3,26093.130291311292,28251.644556699277,29598.921906225078
2,25968.650721208636,28248.100142997588,29576.7961235072
1,25968.650720729383,28248.10014311778,29576.79612350314
0,25968.6507230452,28242.756663187498,29576.796123468033
4,26092.727760395574,28251.603885490218,29598.92190621788
5,26092.727763679617,28244.973557033656,29598.921906379073
6,26092.727765534113,28978.941951349974,29598.921906262258
7,26092.727760607646,28681.454460604193,29598.921906146083
9,28859.207295323566,28685.32960504781,29607.55655520985
10,28859.20729532343,28685.329605051003,29607.55655520442
11,28859.207295079257,28685.32960488678,29607.556555198855
8,26140.553252901285,28683.29807442669,29607.5565549343
12,28859.207295079224,28685.32960489216,29607.55655518997
14,28841.942331056955,28597.669281022674,29588.08716726122
13,28841.94232871759,28681.803775777986,29588.087167254438
15,28841.942330998332,28508.039264034873,29588.087167262944
17,28841.942331688362,28280.312120778744,29588.08716726258
16,28841.94233099839,28508.039264015028,29588.087167261972
18,28841.777808972023,28280.266628938964,29588.087167172336
19,28841.777808972005,28280.266628936624,29588.087167170474
21,28812.920038225697,27938.93010240931,29588.087167292695
20,28841.777809299707,27943.805797753874,29588.087167141526
23,28812.92003822606,27855.73779132085,29588.087167283302
22,28812.92003822618,27855.7377915524,29588.087167285594
26,28813.002922928135,27855.792046781342,29588.087167293506
25,28812.92003822612,27855.737791600084,29588.087167265505
24,28812.920038226097,27855.73779135519,29588.08716726769
27,28804.39689982443,27855.788861324596,29588.087166493366
29,28799.40407696578,27855.788172321165,29575.593416269574
30,28799.404077123167,27908.208011232397,29575.593416228858
28,28799.40407690657,27855.788176117392,29588.087166575686
31,28804.33102236356,27908.210357952295,29575.593416909265
32,29127.256592812646,27946.12222156091,29575.59341653371
33,29127.256592812635,27946.122219065077,29575.593416524738
34,29125.015442816926,27946.121845867674,29575.59341645535
35,29125.010132564592,27946.120618377667,29575.593416459255
36,29125.01013256458,27946.12061839184,29575.59341644482
37,29125.01013251699,27946.120607550747,29575.59341625755
39,29099.66362997333,27944.663510975217,29548.748371457004
38,29099.663629973315,27944.66351097254,29548.748371437003
40,29099.663630671803,27944.663505225184,29345.082867766927
42,29099.663630671675,27944.66350523186,29345.082867791993
43,29099.66363067596,25811.12286175866,29345.082867038367
41,29099.663630671817,27944.663505217028,29345.082867706195
44,29099.663630676027,25811.12285465576,29345.08286697069
45,29099.66175486284,25811.12055067971,29345.08286694213
46,29099.661754607303,25811.120541634562,29345.082866516168
47,29099.661754009572,25811.12049861767,29345.082865525736
49,29128.891729598465,25813.01795169268,29367.85238297446
50,29128.891731177464,26101.026658581504,29367.852384843987
48,29099.66175400965,25811.12054639522,29345.082865560325
51,29128.891731177464,26101.026658581504,29367.852384843987
52,29128.891731286123,26223.357253661106,29367.852385391077
54,29128.89173200893,26223.35724075516,29367.852385351827
53,29128.89173128615,26223.357237698463,29367.852385418082
56,29128.891731990505,26223.357231119182,29367.852385404334
55,29128.89173198561,26223.35723931424,29367.85238537844
57,29128.891731990392,26223.357242920178,29367.852385391074
58,29128.858192908192,26223.331585768894,29367.852385423095
59,23449.256780813837,28960.44289607745,29595.359826472322
60,23449.25677261596,28960.44289608491,29595.35982648062
61,23449.256768642867,28985.006837815406,29595.359826536696
62,23387.95115572372,28985.006794385616,29595.359826505846
64,28424.361222386266,29002.876179102528,29595.359826276734
66,28424.36169291071,28945.737389092737,29595.359826127584
65,28424.361211126932,28945.737380912164,29595.35982616004
63,23387.95115258432,28985.006794385066,29595.35982650934
67,28424.361692911163,28945.737389092785,29595.3598261401
69,29099.48731971501,28945.745614769836,29595.359826147906
68,29099.487319714994,28945.74561476987,29595.35982613767
70,29099.48731971502,28945.745614769807,29595.359826159456
73,29099.487772365137,28923.97360601253,29364.003472925324
